Name,National Dex #,Primary Typing,Secondary Typing,Secondary Typing Flag,Generation,Legendary Status,Form,Alt Form Flag,Evolution Stage,Number of Evolution,Color ID,Catch Rate,Height (dm),Weight (hg),Height (in),Weight (lbs),Base Stat Total,Health,Attack,Defense,Special Attack,Special Defense,Speed
seadra,117,water,,False,generation-i,False,Base,False,2,3,blue,75,12,250,47,55,440,55,65,95,95,45,85
goldeen,118,water,,False,generation-i,False,Base,False,1,2,red,225,6,150,24,33,320,45,67,60,35,50,63
seaking,119,water,,False,generation-i,False,Base,False,2,2,red,60,13,390,51,86,450,80,92,65,65,80,68
staryu,120,water,,False,generation-i,False,Base,False,1,2,brown,225,8,345,31,76,340,30,45,55,70,55,85
starmie,121,water,psychic,True,generation-i,False,Base,False,2,2,purple,60,11,800,43,176,520,60,75,85,100,85,115
mr-mime,122,psychic,fairy,True,generation-i,False,Base,False,2,3,pink,45,13,545,51,120,460,40,45,65,100,120,90
mr-mime-galar,122,ice,psychic,True,generation-i,False,Galarian,True,2,3,pink,45,14,568,55,125,460,50,65,65,90,90,100
scyther,123,bug,flying,True,generation-i,False,Base,False,1,2,green,45,15,560,59,123,500,70,110,80,55,80,105
jynx,124,ice,psychic,True,generation-i,False,Base,False,2,2,red,45,14,406,55,90,455,65,50,35,115,95,95
electabuzz,125,electric,,False,generation-i,False,Base,False,2,3,yellow,45,11,300,43,66,490,65,83,57,95,85,105
magmar,126,fire,,False,generation-i,False,Base,False,2,3,red,45,13,445,51,98,495,65,95,57,100,85,93
pinsir,127,bug,,False,generation-i,False,Base,False,1,1,brown,45,15,550,59,121,500,65,125,100,55,70,85
pinsir-mega,127,bug,flying,True,generation-i,True,Mega,True,1,1,brown,45,17,590,67,130,600,65,155,120,65,90,105
tauros,128,normal,,False,generation-i,False,Base,False,1,1,brown,45,14,884,55,195,490,75,100,95,40,70,110
tauros-paldea-combat-breed,128,fighting,,False,generation-i,False,Paldean,True,1,1,brown,45,14,1150,55,254,490,75,110,105,30,70,100
tauros-paldea-blaze-breed,128,fighting,fire,True,generation-i,False,Paldean,True,1,1,brown,45,14,850,55,187,490,75,110,105,30,70,100
tauros-paldea-aqua-breed,128,fighting,water,True,generation-i,False,Paldean,True,1,1,brown,45,14,1100,55,243,490,75,110,105,30,70,100
magikarp,129,water,,False,generation-i,False,Base,False,1,2,red,255,9,100,35,22,200,20,10,55,15,20,80
gyarados,130,water,flying,True,generation-i,False,Base,False,2,2,blue,45,65,2350,256,518,540,95,125,79,60,100,81
gyarados-mega,130,water,dark,True,generation-i,True,Mega,True,2,2,blue,45,65,3050,256,672,640,95,155,109,70,130,81
lapras,131,water,ice,True,generation-i,False,Base,False,1,1,blue,45,25,2200,98,485,535,130,85,80,85,95,60
ditto,132,normal,,False,generation-i,False,Base,False,1,1,purple,35,3,40,12,9,288,48,48,48,48,48,48
eevee,133,normal,,False,generation-i,False,Base,False,1,2,brown,45,3,65,12,14,325,55,55,50,45,65,55
eevee-starter,133,normal,,False,generation-i,False,Starter,True,1,2,brown,45,3,65,12,14,435,65,75,70,65,85,75
vaporeon,134,water,,False,generation-i,False,Base,False,2,2,blue,45,10,290,39,64,525,130,65,60,110,95,65
jolteon,135,electric,,False,generation-i,False,Base,False,2,2,yellow,45,8,245,31,54,525,65,65,60,110,95,130
flareon,136,fire,,False,generation-i,False,Base,False,2,2,red,45,9,250,35,55,525,65,130,60,95,110,65
porygon,137,normal,,False,generation-i,False,Base,False,1,3,pink,45,8,365,31,80,395,65,60,70,85,75,40
omanyte,138,rock,water,True,generation-i,False,Base,False,1,2,blue,45,4,75,16,17,355,35,40,100,90,55,35
omastar,139,rock,water,True,generation-i,False,Base,False,2,2,blue,45,10,350,39,77,495,70,60,125,115,70,55
kabuto,140,rock,water,True,generation-i,False,Base,False,1,2,brown,45,5,115,20,25,355,30,80,90,55,45,55
kabutops,141,rock,water,True,generation-i,False,Base,False,2,2,brown,45,13,405,51,89,495,60,115,105,65,70,80
aerodactyl,142,rock,flying,True,generation-i,False,Base,False,1,1,purple,45,18,590,71,130,515,80,105,65,60,75,130
aerodactyl-mega,142,rock,flying,True,generation-i,True,Mega,True,1,1,purple,45,21,790,83,174,615,80,135,85,70,95,150
snorlax,143,normal,,False,generation-i,False,Base,False,2,2,black,25,21,4600,83,1014,540,160,110,65,65,110,30
articuno,144,ice,flying,True,generation-i,True,Base,False,1,1,blue,3,17,554,67,122,580,90,85,100,95,125,85
articuno-galar,144,psychic,flying,True,generation-i,True,Galarian,True,1,1,blue,3,17,509,67,112,580,90,85,85,125,100,95
zapdos,145,electric,flying,True,generation-i,True,Base,False,1,1,yellow,3,16,526,63,116,580,90,90,85,125,90,100
zapdos-galar,145,fighting,flying,True,generation-i,True,Galarian,True,1,1,yellow,3,16,582,63,128,580,90,125,90,85,90,100
moltres,146,fire,flying,True,generation-i,True,Base,False,1,1,yellow,3,20,600,79,132,580,90,100,90,125,85,90
moltres-galar,146,dark,flying,True,generation-i,True,Galarian,True,1,1,yellow,3,20,660,79,146,580,90,85,90,100,125,90
dratini,147,dragon,,False,generation-i,False,Base,False,1,3,blue,45,18,33,71,7,300,41,64,45,50,50,50
dragonair,148,dragon,,False,generation-i,False,Base,False,2,3,blue,45,40,165,157,36,420,61,84,65,70,70,70
dragonite,149,dragon,flying,True,generation-i,False,Base,False,3,3,brown,45,22,2100,87,463,600,91,134,95,100,100,80
mewtwo,150,psychic,,False,generation-i,True,Base,False,1,1,purple,3,20,1220,79,269,680,106,110,90,154,90,130
mewtwo-mega-x,150,psychic,fighting,True,generation-i,True,Mega X,True,1,1,purple,3,23,1270,91,280,780,106,190,100,154,100,130
mewtwo-mega-y,150,psychic,,False,generation-i,True,Mega Y,True,1,1,purple,3,15,330,59,73,780,106,150,70,194,120,140
mew,151,psychic,,False,generation-i,True,Base,False,1,1,pink,45,4,40,16,9,600,100,100,100,100,100,100
chikorita,152,grass,,False,generation-ii,False,Base,False,1,3,green,45,9,64,35,14,318,45,49,65,49,65,45
bayleef,153,grass,,False,generation-ii,False,Base,False,2,3,green,45,12,158,47,35,405,60,62,80,63,80,60
meganium,154,grass,,False,generation-ii,True,Base,False,3,3,green,45,18,1005,71,222,525,80,82,100,83,100,80
cyndaquil,155,fire,,False,generation-ii,False,Base,False,1,3,yellow,45,5,79,20,17,309,39,52,43,60,50,65
quilava,156,fire,,False,generation-ii,False,Base,False,2,3,yellow,45,9,190,35,42,405,58,64,58,80,65,80
typhlosion,157,fire,,False,generation-ii,False,Base,False,3,3,yellow,45,17,795,67,175,534,78,84,78,109,85,100
typhlosion-hisui,157,fire,ghost,True,generation-ii,False,Hisuian,True,3,3,yellow,45,16,698,63,154,534,73,84,78,119,85,95
totodile,158,water,,False,generation-ii,False,Base,False,1,3,blue,45,6,95,24,21,314,50,65,64,44,48,43
croconaw,159,water,,False,generation-ii,False,Base,False,2,3,blue,45,11,250,43,55,405,65,80,80,59,63,58
feraligatr,160,water,,False,generation-ii,False,Base,False,3,3,blue,45,23,888,91,196,530,85,105,100,79,83,78
sentret,161,normal,,False,generation-ii,False,Base,False,1,2,brown,255,8,60,31,13,215,35,46,34,35,45,20
furret,162,normal,,False,generation-ii,False,Base,False,2,2,brown,90,18,325,71,72,415,85,76,64,45,55,90
hoothoot,163,normal,flying,True,generation-ii,False,Base,False,1,2,brown,255,7,212,28,47,262,60,30,30,36,56,50
noctowl,164,normal,flying,True,generation-ii,False,Base,False,2,2,brown,90,16,408,63,90,452,100,50,50,86,96,70
ledyba,165,bug,flying,True,generation-ii,False,Base,False,1,2,red,255,10,108,39,24,265,40,20,30,40,80,55
ledian,166,bug,flying,True,generation-ii,False,Base,False,2,2,red,90,14,356,55,78,390,55,35,50,55,110,85
spinarak,167,bug,poison,True,generation-ii,False,Base,False,1,2,green,255,5,85,20,19,250,40,60,40,40,40,30
ariados,168,bug,poison,True,generation-ii,False,Base,False,2,2,red,90,11,335,43,74,400,70,90,70,60,70,40
crobat,169,poison,flying,True,generation-ii,False,Base,False,3,3,purple,90,18,750,71,165,535,85,90,80,70,80,130
chinchou,170,water,electric,True,generation-ii,False,Base,False,1,2,blue,190,5,120,20,26,330,75,38,38,56,56,67
lanturn,171,water,electric,True,generation-ii,False,Base,False,2,2,blue,75,12,225,47,50,460,125,58,58,76,76,67
pichu,172,electric,,False,generation-ii,False,Base,False,1,3,yellow,190,3,20,12,4,205,20,40,15,35,35,60
cleffa,173,fairy,,False,generation-ii,False,Base,False,1,3,pink,150,3,30,12,7,218,50,25,28,45,55,15
igglybuff,174,normal,fairy,True,generation-ii,False,Base,False,1,3,pink,170,3,10,12,2,210,90,30,15,40,20,15
togepi,175,fairy,,False,generation-ii,False,Base,False,1,3,white,190,3,15,12,3,245,35,20,65,40,65,20
togetic,176,fairy,flying,True,generation-ii,False,Base,False,2,3,white,75,6,32,24,7,405,55,40,85,80,105,40
natu,177,psychic,flying,True,generation-ii,False,Base,False,1,2,green,190,2,20,8,4,320,40,50,45,70,45,70
xatu,178,psychic,flying,True,generation-ii,False,Base,False,2,2,green,75,15,150,59,33,470,65,75,70,95,70,95
